Original_Catname,Mapped_Catname
School,1
Korean Restaurant,2
Movie Theater,3
Italian Restaurant,4
Performing Arts Venue,5
Cosmetics Shop,6
American Restaurant,7
Tanning Salon,8
Mall,9
Shrine,10
Casino,11
Bar,12
Music Store,13
Cajun / Creole Restaurant,14
Fast Food Restaurant,15
Law School,16
Latin American Restaurant,17
Molecular Gastronomy Restaurant,18
Science Museum,19
Thrift / Vintage Store,20
Concert Hall,21
Candy Store,22
Scenic Lookout,23
Caribbean Restaurant,24
Spanish Restaurant,25
Community College,26
Asian Restaurant,27
Garden,28
Historic Site,29
Sandwich Place,30
Jewelry Store,31
Nursery School,32
Playground,33
Furniture / Home Store,34
Vegetarian / Vegan Restaurant,35
Donut Shop,36
Clothing Store,37
Wings Joint,38
Malaysian Restaurant,39
Neighborhood,40
Spa / Massage,41
Taxi,42
Restaurant,43
Music Venue,44
College Academic Building,45
Military Base,46
Vietnamese Restaurant,47
Soup Place,48
Miscellaneous Shop,49
Tapas Restaurant,50
General Entertainment,51
Brazilian Restaurant,52
University,53
Recycling Facility,54
Church,55
Flea Market,56
Burger Joint,57
Housing Development,58
Beer Garden,59
Hardware Store,60
Coffee Shop,61
Travel & Transport,62
Fair,63
Arcade,64
Eastern European Restaurant,65
Laundry Service,66
Home (private),67
Mediterranean Restaurant,68
Synagogue,69
Office,70
Middle Eastern Restaurant,71
Pet Store,72
Swiss Restaurant,73
Indian Restaurant,74
Dessert Shop,75
Museum,76
Mac & Cheese Joint,77
Animal Shelter,78
Scandinavian Restaurant,79
Beach,80
Zoo,81
Train Station,82
Medical Center,83
Stadium,84
Breakfast Spot,85
Salon / Barbershop,86
Financial or Legal Service,87
Cuban Restaurant,88
Building,89
Park,90
Event Space,91
Mobile Phone Shop,92
Hot Dog Joint,93
Medical School,94
Food & Drink Shop,95
Art Gallery,96
Convenience Store,97
French Restaurant,98
Airport,99
Post Office,100
Japanese Restaurant,101
Library,102
Automotive Shop,103
Food Truck,104
Thai Restaurant,105
Gift Shop,106
Road,107
Tea Room,108
Café,109
Athletic & Sport,110
Fried Chicken Joint,111
Diner,112
German Restaurant,113
Salad Place,114
Subway,115
Plaza,116
Gym / Fitness Center,117
Rental Car Location,118
River,119
Bridge,120
Bank,121
Sporting Goods Shop,122
Sushi Restaurant,123
African Restaurant,124
Rest Area,125
Falafel Restaurant,126
South American Restaurant,127
Other Nightlife,128
Deli / Bodega,129
Ferry,130
Arts & Entertainment,131
Tattoo Parlor,132
Campground,133
Seafood Restaurant,134
Theater,135
Public Art,136
Brewery,137
Convention Center,138
Garden Center,139
Bakery,140
Bus Station,141
Government Building,142
Pool,143
Market,144
Student Center,145
Trade School,146
Snack Place,147
Dumpling Restaurant,148
Camera Store,149
Funeral Home,150
Sculpture Garden,151
Department Store,152
Smoke Shop,153
Light Rail,154
Harbor / Marina,155
Dim Sum Restaurant,156
City,157
Antique Shop,158
Paper / Office Supplies Store,159
Arts & Crafts Store,160
Bridal Shop,161
Aquarium,162
Design Studio,163
General Travel,164
Hobby Shop,165
Bagel Shop,166
Bowling Alley,167
Middle School,168
Spiritual Center,169
Southern / Soul Food Restaurant,170
College & University,171
Pool Hall,172
General College & University,173
Bookstore,174
Burrito Place,175
Taco Place,176
Filipino Restaurant,177
Outdoors & Recreation,178
Elementary School,179
Food,180
Ramen /  Noodle House,181
High School,182
Cupcake Shop,183
Australian Restaurant,184
Gas Station / Garage,185
Mexican Restaurant,186
Ice Cream Shop,187
BBQ Joint,188
Pizza Place,189
Factory,190
Art Museum,191
Racetrack,192
College Stadium,193
Drugstore / Pharmacy,194
Hotel,195
Steakhouse,196
Cemetery,197
Professional & Other Places,198
Electronics Store,199
Moving Target,200
Residential Building (Apartment / Condo),201
Comedy Club,202
Other Great Outdoors,203
Parking,204
Toy / Game Store,205
Temple,206
Gastropub,207
Chinese Restaurant,208
Travel Lounge,209
