Original_Region,Mapped_Region
87G8Q7,1
87G8P6,2
87G7VX,3
87G8V2,4
87G8H6,5
87G7QV,6
87G8P5,7
87G8M5,8
87G7WX,9
87G7QQ,10
87G7MR,11
87G8P7,12
87G7RX,13
87G8X4,14
87G7PV,15
87G7HR,16
87G7JQ,17
87G8R5,18
87G8Q5,19
87G8W3,20
87G8W2,21
87G8V6,22
87G8Q6,23
87G7PX,24
87G7MW,25
87G7PP,26
87G7HV,27
87G7MQ,28
87G7PR,29
87G7QX,30
87G8Q3,31
87G8M3,32
87G8H5,33
87G7HW,34
87G7VQ,35
87G7RQ,36
87G8P8,37
87G8J3,38
87G8W5,39
87G7PW,40
87G8W4,41
87G7WQ,42
87G7PQ,43
87G8M7,44
87G8Q4,45
87G8P4,46
87G8V7,47
87G7XV,48
87G8J4,49
87G8M4,50
87G7QP,51
87G7MX,52
87G8H2,53
87G8P2,54
87G8J6,55
87G8Q8,56
87G8M6,57
87G8R3,58
87G7HX,59
87G8H3,60
87G7QR,61
87G7VV,62
87G7WV,63
87G8X2,64
87G8R2,65
87G7QW,66
87G8Q2,67
87G7WW,68
87G8J2,69
87G8W6,70
87G7JV,71
87G8R4,72
87G7RW,73
87G8M2,74
87G7JR,75
87G8P3,76
87G7VW,77
87G8V5,78
87G8J5,79
87G7RR,80
87G8H4,81
87G8R6,82
87G7JW,83
87G7XW,84
87G7RV,85
87G7WR,86
87G7MV,87
87G8V3,88
87G7JX,89
87G7VR,90
87G8V4,91
